Label Value,Code,Description
15 Economic framework,15,This division covers R&D directed towards the understanding of the economic framework of development and the application of economic theory to assist development. It includes R&D directed towards developing measurement standards and calibrations services which make a contribution to the economic framework.
1501 International trade policy,1501,"This group covers R&D directed towards understanding issues relating to international trade, including trade policy, assistance and protection and international agreements on trade."
150101 International agreements on trade,150101,
150102 Trade assistance and protection,150102,
150103 Trade policy,150103,
150199 International trade policy not elsewhere classified,150199,
1502 Macroeconomics,1502,"This group covers R&D directed towards the understanding of economic issues at the macroeconomic level, including fiscal policy, monetary policy, exchange rates, balance of payments, income policy, taxation and other macroeconomic issues."
150201 Balance of payments,150201,
150202 Demography,150202,
150203 Economic growth,150203,
150204 Exchange rates,150204,
150205 Fiscal policy,150205,
150206 Income distribution,150206,
150207 Macro labour market issues,150207,
150208 Monetary policy,150208,
150209 Savings and investments,150209,
150210 Taxation,150210,
150299 Macroeconomics not elsewhere classified,150299,
1503 Management and productivity,1503,This group covers R&D directed towards management and productivity issues. It includes R&D directed towards marketing and industrial relations.
150301 Industrial relations,150301,
150302 Management,150302,
150303 Marketing,150303,
150304 Productivity (excl. public sector),150304,
150305 Public sector productivity,150305,
150306 Technological and organisational innovation,150306,
150399 Management and productivity not elsewhere classified,150399,
1504 Measurement standards and calibration services,1504,"This group covers R&D directed towards the development and provision of measurement standards and calibration services for defence, manufacturing and the service industries."
150401 Agricultural and environmental standards and calibrations,150401,
150402 Defence standards and calibrations,150402,
150403 Manufacturing standards and calibrations,150403,
150404 Service industries standards and calibrations,150404,
150499 Measurement standards and calibration services not elsewhere classified,150499,
1505 Microeconomics,1505,"This group covers R&D directed towards understanding economic issues at the microeconomic level, including effects on taxation, consumption, industrial organisations, industry policy, industry cost and structure and other microeconomic issues."
150501 Consumption,150501,
150502 Human capital issues,150502,
150503 Industrial organisations,150503,
150504 Industry costs and structure,150504,
150505 Industry policy,150505,
150506 Market-based mechanisms,150506,
150507 Micro labour market issues,150507,
150508 Microeconomic effects of taxation,150508,
"150509 Preference, behaviour and welfare",150509,
150510 Production,150510,
150511 Supply and demand,150511,
150599 Microeconomics not elsewhere classified,150599,
1599 Other economic framework,1599,This group covers R&D directed towards understanding other economic issues in the economic framework not elsewhere classified. It includes carbon and emissions trading mechanisms and ecological economics.
159901 Carbon and emissions trading,159901,
159902 Ecological economics,159902,
159999 Other economic framework not elsewhere classified,159999,
16 Education and training,16,This division covers R&D directed towards improving education and training.
1601 Learner and learning,1601,This group covers R&D directed towards improving the learning outcomes of individual learners.
160101 Early childhood education,160101,
160102 Higher education,160102,
160103 Primary education,160103,
160104 Professional development and adult education,160104,
160105 Secondary education,160105,
160199 Learner and learning not elsewhere classified,160199,
1602 Schools and learning environments,1602,This group covers R&D directed towards the improvement of school and educational institution learning environments.
160201 Equity and access to education,160201,
160202 Gender aspects in education,160202,
160203 Inclusive education,160203,
"160204 Management, resources and leadership",160204,
160205 Policies and development,160205,
160206 Workforce transition and employment,160206,
160299 Schools and learning environments not elsewhere classified,160299,
1603 Teaching and curriculum,1603,This group covers R&D directed towards improving teaching and instruction.
"160301 Assessment, development and evaluation of curriculum",160301,
160302 Pedagogy,160302,
160303 Teacher and instructor development,160303,
160304 Teaching and instruction technologies,160304,
160399 Teaching and curriculum not elsewhere classified,160399,
1699 Other education and training,1699,This group covers R&D directed towards education and training not elsewhere classified.
169999 Other education and training not elsewhere classified,169999,
17 Energy,17,This division covers R&D directed towards energy resources and the supply of energy.
1701 Energy efficiency,1701,"This group covers R&D directed towards the efficient use of energy in industry, transport, commerce and households. It includes energy used in forms such as petroleum products, electricity, gas, coke and briquettes and in the form of heat energy."
170101 Commercial energy efficiency,170101,
170102 Industrial energy efficiency,170102,
170103 Residential energy efficiency,170103,
170104 Transport energy efficiency,170104,
170199 Energy efficiency not elsewhere classified,170199,
