Label Value,Code,Description
319902 Global change biology,319902,
319999 Other biological sciences not elsewhere classified,319999,
32 Biomedical and clinical sciences,32,This division covers biomedical and clinical science.
3201 Cardiovascular medicine and haematology,3201,This group covers cardiovascular medicine and haematology.
320101 Cardiology (incl. cardiovascular diseases),320101,
320102 Haematology,320102,
320103 Respiratory diseases,320103,
320199 Cardiovascular medicine and haematology not elsewhere classified,320199,
3202 Clinical sciences,3202,"This group covers specific clinical aspects of medicine, including causes, diagnosis, treatment and management of specific diseases and conditions."
320201 Anaesthesiology,320201,
320202 Clinical chemistry (incl. diagnostics),320202,
320203 Clinical microbiology,320203,
320204 Clinimetrics,320204,
320205 Dermatology,320205,
320206 Diagnostic radiography,320206,
320207 Emergency medicine,320207,
320208 Endocrinology,320208,
320209 Gastroenterology and hepatology,320209,
320210 Geriatrics and gerontology,320210,
320211 Infectious diseases,320211,
320212 Intensive care,320212,
320213 Medical genetics (excl. cancer genetics),320213,
320214 Nephrology and urology,320214,
320215 Nuclear medicine,320215,
320216 Orthopaedics,320216,
320217 Otorhinolaryngology,320217,
320218 Pain,320218,
320219 Paramedicine,320219,
320220 Pathology (excl. oral pathology),320220,
320221 Psychiatry (incl. psychotherapy),320221,
320222 Radiology and organ imaging,320222,
320223 Rheumatology and arthritis,320223,
320224 Rural clinical health,320224,
320225 Sports medicine,320225,
320226 Surgery,320226,
320227 Venereology,320227,
320299 Clinical sciences not elsewhere classified,320299,
3203 Dentistry,3203,This group covers dentistry.
320301 Craniofacial biology,320301,
320302 Dental materials and equipment,320302,
"320303 Dental therapeutics, pharmacology and toxicology",320303,
320304 Endodontics,320304,
320305 Oral and maxillofacial surgery,320305,
320306 Oral implantology,320306,
320307 Oral medicine and pathology,320307,
320308 Orthodontics and dentofacial orthopaedics,320308,
320309 Paedodontics,320309,
320310 Periodontics,320310,
320311 Prosthodontics,320311,
320312 Special needs dentistry,320312,
320399 Dentistry not elsewhere classified,320399,
3204 Immunology,3204,This group covers the processes and reactions of the human immune system.
320401 Allergy,320401,
"320402 Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)",320402,
320403 Autoimmunity,320403,
320404 Cellular immunology,320404,
320405 Humoural immunology and immunochemistry,320405,
320406 Immunogenetics (incl. genetic immunology),320406,
320407 Innate immunity,320407,
320408 Transplantation immunology,320408,
320409 Tumour immunology,320409,
320499 Immunology not elsewhere classified,320499,
3205 Medical biochemistry and metabolomics,3205,"This group covers human biochemistry or the chemistry of human living organisms and the human life process. It includes proteomics, metabolomics and metabolic medicine."
320501 Medical biochemistry - amino acids and metabolites,320501,
320502 Medical biochemistry - carbohydrates,320502,
320503 Medical biochemistry - inorganic elements and compounds,320503,
320504 Medical biochemistry - lipids,320504,
320505 Medical biochemistry - nucleic acids,320505,
320506 Medical biochemistry - proteins and peptides (incl. medical proteomics),320506,
320507 Metabolic medicine,320507,
320599 Medical biochemistry and metabolomics not elsewhere classified,320599,
3206 Medical biotechnology,3206,This group covers medical biotechnology.
320601 Gene and molecular therapy,320601,
320602 Medical biotechnology diagnostics (incl. biosensors),320602,
320603 Medical molecular engineering of nucleic acids and proteins,320603,
320604 Nanomedicine,320604,
"320605 Nanotoxicology, health and safety",320605,
320606 Regenerative medicine (incl. stem cells),320606,
320699 Medical biotechnology not elsewhere classified,320699,
3207 Medical microbiology,3207,"This group covers microbiology associated with human health and disease, other than clinical microbiology."
320701 Medical bacteriology,320701,
320702 Medical infection agents (incl. prions),320702,
320703 Medical mycology,320703,
320704 Medical parasitology,320704,
320705 Medical virology,320705,
320799 Medical microbiology not elsewhere classified,320799,
3208 Medical physiology,3208,This group covers the processes and function of the human body or the physical and chemical processes involved in the functioning of the human body and its component parts.
320801 Cell physiology,320801,
320802 Human biophysics,320802,
320803 Systems physiology,320803,
320899 Medical physiology not elsewhere classified,320899,
3209 Neurosciences,3209,This group covers processes and reactions of the human nervous system. It includes neurology and neuromuscular disease.
320901 Autonomic nervous system,320901,
320902 Cellular nervous system,320902,
320903 Central nervous system,320903,
320904 Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience),320904,
320905 Neurology and neuromuscular diseases,320905,
320906 Peripheral nervous system,320906,
320907 Sensory systems,320907,
320999 Neurosciences not elsewhere classified,320999,
3210 Nutrition and dietetics,3210,This group covers nutrition and dietetics.
321001 Clinical nutrition,321001,
321002 Food properties (incl. characteristics and health benefits),321002,
321003 Nutrigenomics and personalised nutrition,321003,
321004 Nutritional science,321004,
321005 Public health nutrition,321005,
321006 Sport and exercise nutrition,321006,
321099 Nutrition and dietetics not elsewhere classified,321099,
3211 Oncology and carcinogenesis,3211,This group covers oncology and carcinogenesis.
321101 Cancer cell biology,321101,
321102 Cancer diagnosis,321102,
321103 Cancer genetics,321103,
321104 Cancer therapy (excl. chemotherapy and radiation therapy),321104,
321105 Chemotherapy,321105,
321106 Haematological tumours,321106,
321107 Liquid biopsies,321107,
321108 Molecular targets,321108,
321109 Predictive and prognostic markers,321109,
321110 Radiation therapy,321110,
321111 Solid tumours,321111,
321199 Oncology and carcinogenesis not elsewhere classified,321199,
