Label Value,Code,Description
070404 Fish Pests and Diseases,070404,
070405 Fish Physiology and Genetics,070405,
070406 Post-Harvest Fisheries Technologies (incl. Transportation),070406,
070499 Fisheries Sciences not elsewhere classified,070499,
0705 Forestry Sciences,0705,
070501 Agroforestry,070501,
070502 Forestry Biomass and Bioproducts,070502,
070503 Forestry Fire Management,070503,
070504 Forestry Management and Environment,070504,
"070505 Forestry Pests, Health and Diseases",070505,
070506 Forestry Product Quality Assessment,070506,
070507 Tree Improvement (Selection and Breeding),070507,
070508 Tree Nutrition and Physiology,070508,
070509 Wood Fibre Processing,070509,
070510 Wood Processing,070510,
070599 Forestry Sciences not elsewhere classified,070599,
0706 Horticultural Production,0706,
070601 Horticultural Crop Growth and Development,070601,
070602 Horticultural Crop Improvement (Selection and Breeding),070602,
"070603 Horticultural Crop Protection (Pests, Diseases and Weeds)",070603,
070604 Oenology and Viticulture,070604,
070605 Post Harvest Horticultural Technologies (incl. Transportation and Storage),070605,
070699 Horticultural Production not elsewhere classified,070699,
0707 Veterinary Sciences,0707,
070701 Veterinary Anaesthesiology and Intensive Care,070701,
070702 Veterinary Anatomy and Physiology,070702,
070703 Veterinary Diagnosis and Diagnostics,070703,
070704 Veterinary Epidemiology,070704,
070705 Veterinary Immunology,070705,
070706 Veterinary Medicine,070706,
070707 Veterinary Microbiology (excl. Virology),070707,
070708 Veterinary Parasitology,070708,
070709 Veterinary Pathology,070709,
070710 Veterinary Pharmacology,070710,
070711 Veterinary Surgery,070711,
070712 Veterinary Virology,070712,
070799 Veterinary Sciences not elsewhere classified,070799,
0799 Other Agricultural and Veterinary Sciences,0799,
"079901 Agricultural Hydrology (Drainage, Flooding, Irrigation, Quality, etc.)",079901,
079902 Fertilisers and Agrochemicals (incl. Application),079902,
079999 Agricultural and Veterinary Sciences not elsewhere classified,079999,
08 Information and Computing Sciences,08,
0801 Artificial Intelligence and Image Processing,0801,
080101 Adaptive Agents and Intelligent Robotics,080101,
080102 Artificial Life,080102,
080103 Computer Graphics,080103,
080104 Computer Vision,080104,
080105 Expert Systems,080105,
080106 Image Processing,080106,
080107 Natural Language Processing,080107,
"080108 Neural, Evolutionary and Fuzzy Computation",080108,
080109 Pattern Recognition and Data Mining,080109,
080110 Simulation and Modelling,080110,
080111 Virtual Reality and Related Simulation,080111,
080199 Artificial Intelligence and Image Processing not elsewhere classified,080199,
0802 Computation Theory and Mathematics,0802,
080201 Analysis of Algorithms and Complexity,080201,
080202 Applied Discrete Mathematics,080202,
080203 Computational Logic and Formal Languages,080203,
080204 Mathematical Software,080204,
080205 Numerical Computation,080205,
080299 Computation Theory and Mathematics not elsewhere classified,080299,
0803 Computer Software,0803,
080301 Bioinformatics Software,080301,
080302 Computer System Architecture,080302,
080303 Computer System Security,080303,
080304 Concurrent Programming,080304,
080305 Multimedia Programming,080305,
080306 Open Software,080306,
080307 Operating Systems,080307,
080308 Programming Languages,080308,
