Label Value,Code,Description
861105 Basic Zinc Products,861105,
"861199 Basic Metal Products (incl. Smelting, Rolling, Drawing and Extruding) not elsewhere classified",861199,
861201 Coated Metal and Metal-Coated Products,861201,
861202 Machined Metal Products,861202,
861203 Metal Castings,861203,
861204 Semi-Finished Metal Products,861204,
861205 Sheet Metal Products,861205,
861206 Structural Metal Products,861206,
861299 Fabricated Metal Products not elsewhere classified,861299,
861301 Aerospace Equipment,861301,
861302 Automotive Equipment,861302,
861303 Nautical Equipment (excl. Yachts),861303,
861304 Rail Equipment,861304,
861305 Yachts,861305,
861399 Transport Equipment not elsewhere classified,861399,
861401 Agricultural Machinery and Equipment,861401,
861402 Appliances and Electrical Machinery and Equipment,861402,
861403 Industrial Machinery and Equipment,861403,
861404 Mining Machinery and Equipment,861404,
861499 Machinery and Equipment not elsewhere classified,861499,
861501 Industrial Instruments,861501,
861502 Medical Instruments,861502,
861503 Scientific Instruments,861503,
861599 Instrumentation not elsewhere classified,861599,
861601 Computer and Electronic Office Equipment,861601,
861602 Consumer Electronic Equipment (excl. Communication Equipment),861602,
861603 Integrated Circuits and Devices,861603,
861604 Integrated Systems,861604,
861605 Processor Modules,861605,
861606 Satellite Navigation Equipment,861606,
861699 Computer Hardware and Electronic Equipment not elsewhere classified,861699,
861701 Network Infrastructure Equipment,861701,
861702 Telemetry Equipment,861702,
861703 Voice and Data Equipment,861703,
861799 Communication Equipment not elsewhere classified,861799,
869801 Management of Gaseous Waste from Manufacturing Activities (excl. Greenhouse Gases),869801,
869802 Management of Greenhouse Gas Emissions from Manufacturing Activities,869802,
869803 Management of Liquid Waste from Manufacturing Activities (excl. Water),869803,
869804 Management of Solid Waste from Manufacturing Activities,869804,
869805 Management of Water Consumption by Manufacturing Activities,869805,
869899 Environmentally Sustainable Manufacturing not elsewhere classified,869899,
869901 Furniture,869901,
869999 Manufacturing not elsewhere classified,869999,
870101 Civil Construction Planning,870101,
870102 Commercial Construction Planning,870102,
870103 Regional Planning,870103,
870104 Residential Construction Planning,870104,
870105 Urban Planning,870105,
870199 Construction Planning not elsewhere classified,870199,
870201 Civil Construction Design,870201,
870202 Commercial Construction Design,870202,
870203 Industrial Construction Design,870203,
870204 Residential Construction Design,870204,
870299 Construction Design not elsewhere classified,870299,
870301 Cement and Concrete Materials,870301,
"870302 Metals (e.g. Composites, Coatings, Bonding)",870302,
870303 Polymeric Materials (e.g. Paints),870303,
"870304 Stone, Ceramics and Clay Materials",870304,
870305 Timber Materials,870305,
870399 Construction Materials Performance and Processes not elsewhere classified,870399,
870401 Civil Construction Processes,870401,
870402 Commercial Construction Processes,870402,
870403 Industrial Construction Processes,870403,
870404 Residential Construction Processes,870404,
870499 Construction Processes not elsewhere classified,870499,
870501 Civil Building Management and Services,870501,
870502 Commercial Building Management and Services,870502,
870503 Residential Building Management and Services,870503,
870599 Building Management and Services not elsewhere classified,870599,
879801 Management of Gaseous Waste from Construction Activities (excl. Greenhouse Gases),879801,
879802 Management of Greenhouse Gas Emissions from Construction Activities,879802,
879803 Management of Liquid Waste from Construction Activities (excl. Water),879803,
879804 Management of Solid Waste from Construction Activities,879804,
879805 Management of Water Consumption by Construction Activities,879805,
879899 Environmentally Sustainable Construction not elsewhere classified,879899,
879999 Construction not elsewhere classified,879999,
880101 Rail Freight,880101,
880102 Rail Infrastructure and Networks,880102,
880103 Rail Passenger Movements,880103,
880104 Rail Safety,880104,
880105 Road Freight,880105,
880106 Road Infrastructure and Networks,880106,
880107 Road Passenger Movements (excl. Public Transport),880107,
880108 Road Public Transport,880108,
880109 Road Safety,880109,
880199 Ground Transport not elsewhere classified,880199,
880201 Coastal Sea Freight Transport,880201,
